tweet_id,timestamp,rating_numerator,rating_denominator,nickname,retweet_count,favorite_count,p1,p1_conf
892420643555336193,2017-08-01,13,10,,8853,39467,orange,0.0970486
892177421306343426,2017-08-01,13,10,,6514,33819,chihuahua,0.323581
891815181378084864,2017-07-31,12,10,,4328,25461,chihuahua,0.716012
891689557279858688,2017-07-30,13,10,,8964,42908,paper_towel,0.1702779999999999
891327558926688256,2017-07-29,12,10,,9774,41048,basset,0.555712
891087950875897856,2017-07-29,13,10,,3261,20562,chesapeake_bay_retriever,0.425595
890971913173991426,2017-07-28,13,10,,2158,12041,appenzeller,0.341703
890729181411237888,2017-07-28,13,10,,16716,56848,pomeranian,0.566142
890609185150312448,2017-07-27,13,10,,4429,28226,irish_terrier,0.4875739999999999
890240255349198849,2017-07-26,14,10,doggo,7711,32467,pembroke,0.511319
890006608113172480,2017-07-26,13,10,,7624,31166,samoyed,0.957979
889880896479866881,2017-07-25,13,10,,5156,28268,french_bulldog,0.377417
889665388333682689,2017-07-25,13,10,puppo,8538,38818,pembroke,0.966327
889638837579907072,2017-07-25,12,10,,4735,27672,french_bulldog,0.99165
889531135344209921,2017-07-24,13,10,puppo,2321,15359,golden_retriever,0.953442
889278841981685760,2017-07-24,13,10,,5637,25652,whippet,0.626152
888917238123831296,2017-07-23,12,10,,4709,29611,golden_retriever,0.714719
888804989199671297,2017-07-22,13,10,,4559,26080,golden_retriever,0.46976
888554962724278272,2017-07-22,13,10,,3732,20290,siberian_husky,0.700377
888078434458587136,2017-07-20,12,10,,3653,22201,french_bulldog,0.995026
887705289381826560,2017-07-19,13,10,,5609,30779,basset,0.821664
887517139158093824,2017-07-19,14,10,,12082,46959,limousine,0.130432
887343217045368832,2017-07-18,13,10,,10737,34222,mexican_hairless,0.330741
887101392804085760,2017-07-18,12,10,,6167,31061,samoyed,0.733942
886983233522544640,2017-07-17,13,10,,8084,35859,chihuahua,0.793469
886736880519319552,2017-07-16,13,10,,3443,12306,kuvasz,0.309706
886680336477933568,2017-07-16,13,10,,4610,22798,convertible,0.738995
886366144734445568,2017-07-15,12,10,pupper,3316,21524,french_bulldog,0.999201
886258384151887873,2017-07-15,13,10,,6523,28469,pug,0.943575
885984800019947520,2017-07-14,12,10,,7097,33382,blenheim_spaniel,0.972494
885528943205470208,2017-07-13,13,10,,6683,36689,pug,0.369275
885167619883638784,2017-07-12,13,10,,4556,22367,malamute,0.8124819999999999
884925521741709313,2017-07-12,12,10,,16439,68152,italian_greyhound,0.259916
884876753390489601,2017-07-11,13,10,,6096,28514,chow,0.822103
884562892145688576,2017-07-11,13,10,,5100,24765,pug,0.5464060000000001
884441805382717440,2017-07-10,14,10,,5856,27478,pembroke,0.993225
884162670584377345,2017-07-09,12,10,doggo,3128,20771,german_shepherd,0.707046
883838122936631299,2017-07-09,12,10,,3586,22349,doberman,0.610946
883360690899218434,2017-07-07,13,10,floofer,3825,22986,chow,0.987997
883117836046086144,2017-07-07,13,10,,6949,37914,golden_retriever,0.949562
882992080364220416,2017-07-06,13,10,,4122,24445,eskimo_dog,0.4667779999999999
882762694511734784,2017-07-06,12,10,pupper,5134,28903,labrador_retriever,0.85005
882627270321602560,2017-07-05,13,10,,6342,28382,pembroke,0.542982
882268110199369728,2017-07-04,13,10,,12118,45880,golden_retriever,0.762211
882045870035918850,2017-07-04,13,10,,5203,29900,web_site,0.949591
881906580714921986,2017-07-03,12,10,,3533,24773,weimaraner,0.291539
881666595344535552,2017-07-03,13,10,,11099,51522,saluki,0.529012
881536004380872706,2017-07-02,14,10,pupper,16570,50199,samoyed,0.281463
881268444196462592,2017-07-01,12,10,,5358,23501,tusker,0.473303
880935762899988482,2017-06-30,13,10,,2886,17346,street_sign,0.251801
880872448815771648,2017-06-30,12,10,,3989,21734,pembroke,0.791416
880465832366813184,2017-06-29,12,10,,6546,29075,golden_retriever,0.913255
880221127280381952,2017-06-29,12,10,,4436,27640,chihuahua,0.238525
880095782870896641,2017-06-28,11,10,,4533,28150,miniature_pinscher,0.120298
879862464715927552,2017-06-28,13,10,,3642,22667,basset,0.813507
879492040517615616,2017-06-27,12,10,,3323,23822,german_short-haired_pointer,0.479896
879415818425184262,2017-06-26,13,10,,45849,107956,english_springer,0.383404
879376492567855104,2017-06-26,12,10,,3261,17099,tricycle,0.663601
879050749262655488,2017-06-25,11,10,,4941,23022,tabby,0.311861
879008229531029506,2017-06-25,13,10,,2812,19317,vizsla,0.960513
878776093423087618,2017-06-25,13,10,puppo,4319,19763,italian_greyhound,0.734684
878281511006478336,2017-06-23,13,10,,1349,7913,basset,0.32042
878057613040115712,2017-06-23,14,10,,7181,42876,french_bulldog,0.839097
